index,true_label,matched_score,resume_snippet,classify_zeroshot,classify_fewshot,entity_zeroshot,entity_cot,summary_zeroshot,summary_role,true_domain,pred_domain_zs,pred_domain_fs,correct_zs,correct_fs
0,AI Engineer,0.816666667,"A curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights,",Data & AI,Data & AI,"{""skills"": [""machine learning"", ""data analytics""], ""years_experience"": ""unknown"", ""education_level"": ""degree""}","{""skills"": [""machine learning"", ""data analytics""], ""years_experience"": ""unknown or N/A"", ""education_level"": ""unknown or degree""}","The AI Engineer candidate's unique blend of curiosity-driven data science background, machine learning expertise, and passion for lifelong learning makes them an ideal fit for this role.","The candidate appears suitable for the AI Engineer role due to their technical background as a data scientist, but may require additional training or guidance on specific industry-standard frameworks and tools to fill the gap in their overall technical expertise.",Data & AI,Data & AI,Data & AI,1,1
1,AI Engineer,0.783333333,I recently graduated with a B.Tech degree in IT and currently am looking for jobs in sectors related to machine learning,Data & AI,Data & AI,"{""skills"": [""machine learning""], ""years_experience"": ""unknown"", ""education_level"": ""B.Tech degree""}","{""skills"": [""machine learning"", ""coding""], ""years_experience"": ""0 years or unknown"", ""education_level"": ""B.Tech""}","This candidate, having recently graduated with a strong foundation in IT and a keen interest in machine learning, appears to have the potential to make a valuable contribution to an AI engineering role as they seek to apply their new skills and knowledge in a practical setting.","This candidate appears suitable for the role, excelling with their commitment to better coding practices but requiring additional experience and specific industry knowledge to bridge the gap between theoretical education and practical application in AI engineering.",Data & AI,Data & AI,Data & AI,1,1
2,AI Engineer,0.683333333,"Fresher with excellent communication, good analyzing, and problem-solving skills. Proficient and well-armed at Debugging",Data & AI,Data & AI,"{""skills"": [""debugging"", ""bug fixing"", ""c programming"", ""oop concepts""], ""years_experience"": ""X years or unknown"", ""education_level"": ""degree or unknown""}","{""skills"": [""Debugging"", ""Bug fixing"", ""C"", ""C++""], ""years_experience"": ""Fresher"", ""education_level"": ""unknown""}","This candidate's strong foundation in C, C++, and object-oriented programming concepts, combined with their analytical and problem-solving skills, suggest they have the potential to excel as an AI Engineer, despite being a fresher, given their excellent communication skills which are also valuable in this role.","This candidate has a strong foundation in programming fundamentals, particularly C and C++, but their lack of experience in AI-specific technologies or complex software development makes them less suitable for the role as an AI Engineer at this stage in their career.",Data & AI,Data & AI,Data & AI,1,1
3,Asst. Manager/ Manger (Administrative),0.65,I am an experienced analytics specialist seeking a full-time position in the field of data science and application in bu,Data & AI,Data & AI,"{""skills"": [""analytics specialist""], ""years_experience"": ""X years"", ""education_level"": ""degree""}","{""skills"": [""analytics"", ""data science""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","While this candidate's background in analytics is valuable, they may not be the best fit for the Asst. Manager/Manger (Administrative) role, as their resume highlights a strong passion for data science and application rather than administrative experience or management skills.","I would not recommend this candidate for the Assistant Manager/Administrative role as their background in analytics specialization seems out of alignment with the required administrative experience, despite their strong analytical mindset being a valuable asset in other capacities.",HR & Administration,Data & AI,Data & AI,0,0
4,Asst. Manager/ Manger (Administrative),0.783333333,"A Software Designer Internship with a client-driven corporation leading the field of wireless communication, where outst",Software Engineering,Data & AI,"{""skills"": [""design"", ""implementation"", ""software development""], ""years_experience"": ""1-2 years or unknown"", ""education_level"": ""bachelor's degree or unknown""}","{""skills"": [""wireless communication"", ""team management""], ""years_experience"": ""unknown or internship experience"", ""education_level"": ""unknown""}","Although this candidate's background is in software design, their achievements and skills demonstrate a strong potential fit for an administrative role, particularly one involving project management and organizational expertise.","While the candidate's technical expertise in software design is a significant strength, their lack of direct administrative experience may create a gap in their ability to effectively manage day-to-day office operations, making them a borderline suitable candidate for the role.",HR & Administration,Software Engineering,Data & AI,0,0
5,Asst. Manager/ Manger (Administrative),0.55,I recently graduated with a B.Tech degree in IT and currently am looking for jobs in sectors related to machine learning,Data & AI,Data & AI,"{""skills"": [""machine learning"", ""coding""], ""years_experience"": ""unknown"", ""education_level"": ""B.Tech"" }","{""skills"": [""machine learning"", ""coding""], ""years_experience"": ""unknown years or recent graduate"", ""education_level"": ""B.Tech""}","This candidate does not appear to fit the role of Assistant/Manager (Administrative) as their background is in IT with a B.Tech degree, which doesn't align with the administrative management responsibilities typically associated with this position.","While the candidate's strong technical background and commitment to coding best practices are notable assets, their lack of direct experience in administrative roles or relevant work history raises concerns about their suitability for this position.",HR & Administration,Data & AI,Data & AI,0,0
6,Business Development Executive,0.573333333,"looking for an opportunity as an engineer or related position which offers key participation, team-oriented tasks, immed",Other,Business & Marketing,"{""skills"": [""engineering""], ""years_experience"": ""unknown"", ""education_level"": ""degree""}","{""skills"": [""engineering""], ""years_experience"": ""unknown years"", ""education_level"": ""unknown""}","While this candidate's background is in seeking an engineering role, they lack relevant experience and transferable skills required for a Business Development Executive position, making it challenging for them to be well-suited for the role.","This candidate appears unsuitable for a Business Development Executive role due to their stated preference for an engineering position and lack of relevant experience or skills in business development, marketing, or sales.",Business & Marketing,Other,Business & Marketing,0,1
7,Business Development Executive,0.316666667,"Long term goals , become an intuitive I/E Technician in the pulp and paper industry, teach others with the potential to ",Other,Other,"{""skills"": [""intuitive I/E Technician""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""pulp and paper industry knowledge"", ""teaching and training skills"", ""leadership skills""], ""years_experience"": ""unknown or less than 5 years"", ""education_level"": ""unknown""}","This candidate does not appear to fit the role of a Business Development Executive, as their long-term goal seems to align more closely with a technical career path in the pulp and paper industry rather than business development.","While the candidate's long-term career aspirations may not align directly with the business development executive role, their enthusiasm for teaching and leadership potential are notable strengths that could be leveraged in this position.",Business & Marketing,Other,Other,0,0
8,Business Development Executive,0.183333333,Would like to join any firm as a software developer in machine learning projects.,Data & AI,Data & AI,"{""skills"": [], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""machine learning""], ""years_experience"": ""unknown or varying experience"", ""education_level"": ""unknown""}","Unfortunately, this candidate's background as a software developer with interests in machine learning doesn't align directly with the requirements of a Business Development Executive role.","This candidate's strong technical background in machine learning is evident, but their lack of direct experience in business development roles and limited understanding of the company's specific industry and needs creates a significant suitability gap.",Business & Marketing,Data & AI,Data & AI,0,0
9,Civil Engineer,0.3466666666666667,To pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment whe,Other,Business & Marketing,"{""skills"": [""environmental management"", ""communication skills""], ""years_experience"": ""0 years or unknown"", ""education_level"": ""degree or unknown""}","{""skills"": [""positive attitude"", ""honesty""], ""years_experience"": ""unknown or very young professional"", ""education_level"": ""unknown""}",This candidate's strong emphasis on personal growth and commitment to excellence in their resume suggests that they would be a strong fit for a role where these qualities are highly valued in a civil engineer position.,"The candidate's strong enthusiasm and eagerness to learn are notable strengths, but their lack of specific technical skills and relevant work experience raise concerns about their ability to immediately take on the demanding role of a Civil Engineer.",Civil & Mechanical Engineering,Other,Business & Marketing,0,0
